# girsa-hebrew regression corpus. GENERATED by examples/harvest.rs from the
# Otzaria text tree; every left and right value is a string that genuinely
# occurs in a sefer. Do not hand-edit — regenerate.
#
# kind	left	right	where-left	where-right
ktiv	ואומץ	וְאִמְצ	הר המוריה על משנה תורה, הלכות תמורה	משיבת נפש
ktiv	צורים	צְרִים	יפה תואר על שמות רבה	חק לישראל - דברים
ktiv	תְּרֵין	תרנ	מחזור יום כיפור עדות המזרח	תשובות הרדבז חלק ב
ktiv	עניו	עָֽנוּ	מעשה רקח על הלכות תפילין ומזוזה וספר תורה	מחזור יום כיפור עדות המזרח
ktiv	חיותן	חותן	אגרת הקדש	מעשה רקח על הלכות מעשר שני ונטע רבעי
ktiv	דשור	דשר	אור שמח על משנה תורה, הלכות ערכים וחרמין	בית אהרן על כתובות
ktiv	שליטת	שלטת	שפת אמת	שואל ומשיב מהדורא קמא
ktiv	הוויין	הֲוְייָן	אבן האזל על משנה תורה, הלכות אישות	תלמוד ירושלמי קידושין
ktiv	רוויחא	רויחא	אבן האזל על משנה תורה, הלכות עדות	מקורי הרמבם לרשש על משנה תורה, הלכות נערה בתולה
ktiv	מהימים	מהמים	גבעת הלבונה	אבן האזל על משנה תורה, הלכות שחיטה
ktiv	נוֹלַד	נלד	משנה תורה, הלכות טומאת אוכלים	באר היטב אורח חיים
ktiv	חֲמוּרֵי	חמרי	בן יהוידע על ראש השנה	באר הגולה
ktiv	מיחשב	מְחַשֵּׁב	דרך פקודיך	תלמוד ירושלמי קידושין
ktiv	לקטורת	לִקְטֹרֶת	דרך פקודיך	מחזור יום כיפור עדות המזרח
ktiv	שִׁחְרוּר	שִׁחְרֵר	תלמוד ירושלמי קידושין	משנה תורה, הלכות עבדים
ktiv	פְּסוּלִין	פסולן	תלמוד ירושלמי שקלים	בועז על משנה זבחים
ktiv	מתעלים	מתעלם	שפת אמת	קרית ספר על משנה תורה, הלכות גזילה ואבידה
ktiv	וְהִצִּיל	וְהַצֵל	משנה תורה, הלכות שאלה ופיקדון	חק לישראל - דברים
ktiv	שניתוסף	שנתוסף	קסת הסופר	טורי זהב על שולחן ערוך אבן העזר
ktiv	וּנְקֵיבוֹת	וּנְקֵבוֹת	תלמוד ירושלמי שקלים	תלמוד ירושלמי שקלים
ktiv	פירט	פְּרָט	פירושים והערות מהרב יהושע הרטמן על נתיבות עולם	תלמוד ירושלמי מעשרות
ktiv	דמיעוט	דמיעט	אבן האזל על משנה תורה, הלכות שחיטה	אור שמח על משנה תורה, הלכות איסורי המזבח
ktiv	עָרֶיךָ	עֲרָךְ	איכה רבה	משנה תורה, מסירת תורה שבעל פה
ktiv	יותרו	יתרו	אפודי על מורה נבוכים	ברית משה
ktiv	ויעבוד	ועבוד	עבודת המלך על משנה תורה, מסירת תורה שבעל פה	פנים מאירות חלק ג
ktiv	שֶׁבְּרִית	שִׁבַּֽרְתָּ	איכה רבה	מחזור יום כיפור עדות המזרח
ktiv	דידעינין	דידעינן	בית יצחק אבן העזר חלק ב	ברית משה
ktiv	הכינה	הֲכָנָה	רמבם משנה כלים	משיבת נפש
ktiv	היודע	הוֹדַ֑ע	קיצור שע ילקוט יוסף החדש - אבן העזר	מחזור יום כיפור עדות המזרח
ktiv	שִׂיחִי	שָׁחֵי	מחזור יום כיפור עדות המזרח	איכה רבה
ktiv	וַיִּמְצְאוּ	וּמְצָאוֹ	איכה רבה	משנה בבא קמא
ktiv	ליצלי	לצלי	שורשי הים על משנה תורה, הלכות תמידים ומוספין	איסור והיתר לרשי
ktiv	שֶׁיֵּעָשׂוּ	שֶׁעָשׂוּ	משנה תורה, הלכות מעילה	תלמוד ירושלמי שקלים
ktiv	בִּישִׁיבָה	בְּשֵׂיבָ֑ה	מחזור יום כיפור עדות המזרח	מחזור יום כיפור עדות המזרח
ktiv	למתנייה	למתניה	מלאכת שלמה על משנה כלאים	שער המלך על משנה תורה, הלכות שבת
ktiv	בשים	בְּשֵׁ֣ם	שפת אמת	מחזור יום כיפור עדות המזרח
ktiv	וְשׁוֹעַ	ושע	איכה רבה	תוספות יום טוב על משנה כלאים
ktiv	והולכה	וְהָֽלְכָה	לחם משנה על משנה תורה, הלכות פסולי המוקדשין	תלמוד ירושלמי קידושין
ktiv	מחזיקינן	מחזקינן	מעשה רקח על הלכות תפילין ומזוזה וספר תורה	אור שמח על משנה תורה, הלכות טוען ונטען
ktiv	לואי	לאי	פירוש מהרזו על ויקרא רבה	משנה למלך על משנה תורה, הלכות תרומות
ktiv	וְהַשּׁוֹמֵר	והשמר	משנה תורה, הלכות שאלה ופיקדון	קסת הסופר
ktiv	ולדון	ולדן	ספר המצוות	אור שמח על משנה תורה, הלכות איסורי המזבח
ktiv	ומותרות	ומותרת	ספר המצוות	קיצור שע ילקוט יוסף החדש - אבן העזר
ktiv	לוין	לין	אבן האזל על משנה תורה, הלכות אישות	תורת חיים על עירובין
ktiv	רַבְרְבִ֔ין	רַבְרְבָן	מחזור יום כיפור עדות המזרח	חק לישראל - דברים
ktiv	הַמַּ֤יִם	המם	תלמוד ירושלמי שקלים	מעשה רב
ktiv	בנון	בנן	הון עשיר על משנה טבול יום	מלאכת שלמה על משנה בבא בתרא
ktiv	ממונים	ממנים	פתחי תשובה על שולחן ערוך חושן משפט	פתחי תשובה על שולחן ערוך חושן משפט
ktiv	וְשִׁעוּרוֹ	ושערו	משנה תורה, הלכות טומאת אוכלים	לחם משנה על משנה תורה, הלכות אבל
ktiv	שיאכלנו	שאכלנו	כד הקמח	סידור רשי
ktiv	שלימדו	שלמדו	הגהות כבוד מלכים על משנה תורה, הלכות מלכים ומלחמות	לחם משנה על משנה תורה, הלכות אבל
ktiv	וישמן	וְשֶׁמֶן	יש סדר למשנה על משנה יומא	משנה תורה, הלכות טומאת אוכלים
ktiv	שייכת	שיכת	אבן האזל על משנה תורה, הלכות אישות	בלבבי משכן אבנה - א
abbrev	שו"ע	שולחן ערוך	מעשה רב	תלמוד ירושלמי קידושין
abbrev	שו"ע	שלחן ערוך	מעשה רב	משנה חולין
abbrev	או"ח	אורח חיים	קסת הסופר	משנה תורה, הלכות מגילה וחנוכה
abbrev	יו"ד	יורה דעה	עבודת הקודש (גבאי)	מחזור יום כיפור עדות המזרח
abbrev	אה"ע	אבן העזר	קיצור שע ילקוט יוסף החדש - אבן העזר	משנה תורה, הלכות טומאת אוכלים
abbrev	חו"מ	חושן משפט	אבן האזל על משנה תורה, הלכות שחיטה	משנה למלך על משנה תורה, הלכות כלי המקדש והעובדין בו
abbrev	מג"א	מגן אברהם	קסת הסופר	איכה רבה
abbrev	פמ"ג	פרי מגדים	קסת הסופר	תלמוד ירושלמי מעשרות
abbrev	קצוה"ח	קצות החושן	ציוני מהרן על משנה תורה, הלכות עדות	הגהות רבי עקיבא איגר על שלחן ערוך חושן משפט
abbrev	בה"ל	ביאור הלכה	ארץ חמדה	קסת הסופר
abbrev	סמ"ג	ספר מצוות גדול	ברית משה	תלמוד ירושלמי שקלים
abbrev	סמ"ק	ספר מצוות קטן	ברית משה	תלמוד ירושלמי שקלים
abbrev	תוס'	תוספות	שות הלכות קטנות חלק א	ברית משה
abbrev	מתני'	מתניתין	חגיגה	הזוהר המתורגם - בראשית
abbrev	ברייתא	ברייתות	עבודת הקודש (גבאי)	לחם משנה על משנה תורה, הלכות נזירות
abbrev	ירו'	ירושלמי	עבודת הקודש (גבאי)	איכה רבה
abbrev	ירו'	תלמוד ירושלמי	עבודת הקודש (גבאי)	תלמוד ירושלמי מעשרות
abbrev	בבלי	תלמוד בבלי	מחזור יום כיפור עדות המזרח	תלמוד ירושלמי מעשרות
abbrev	ילק"ש	ילקוט שמעוני	יערות דבש חלק א	קיצור שע ילקוט יוסף החדש - אבן העזר
abbrev	שו"ת	שאלות ותשובות	קיצור שע ילקוט יוסף החדש - אבן העזר	קיצור שע ילקוט יוסף החדש - אבן העזר
abbrev	רש"י	רבי שלמה יצחקי	ריטבא על מכות	תלמוד ירושלמי קידושין
abbrev	רש"י	רבינו שלמה יצחקי	ריטבא על מכות	חגיגה
abbrev	רא"ש	רבינו אשר	אסתר	חגיגה
abbrev	רי"ף	רבי יצחק אלפסי	טורי זהב על שולחן ערוך אבן העזר	תלמוד ירושלמי קידושין
abbrev	מהרש"א	מורנו הרב שמואל אליעזר	ברית משה	חק לישראל - דברים
abbrev	מהר"ם	מורנו הרב מאיר	קסת הסופר	חק לישראל - דברים
abbrev	מהרש"ל	מורנו הרב שלמה לוריא	קסת הסופר	חק לישראל - דברים
abbrev	גר"א	הגאון רבי אליהו	הזוהר המתורגם - בראשית	מעשה רב
abbrev	גר"א	גאון רבי אליהו	הזוהר המתורגם - בראשית	מחזור יום כיפור עדות המזרח
abbrev	חת"ם סופר	חתם סופר	מחזור יום כיפור עדות המזרח	מחזור יום כיפור עדות המזרח
abbrev	אדמו"ר	אדוננו מורנו ורבינו	אבן האזל על משנה תורה, הלכות אישות	מחזור יום כיפור עדות המזרח
abbrev	רמ"א	רבי משה איסרליש	מעשה רב	תלמוד ירושלמי קידושין
abbrev	הקב"ה	הקדוש ברוך הוא	משנה חולין	מחזור יום כיפור עדות המזרח
abbrev	הש"י	השם יתברך	דרך פקודיך	מחזור יום כיפור עדות המזרח
abbrev	זצ"ל	זכר צדיק לברכה	מעשה רב	איכה רבה
abbrev	שליט"א	שיחיה לאורך ימים טובים אמן	קיצור שע ילקוט יוסף החדש - אבן העזר	לחם משנה על משנה תורה, הלכות תשובה
abbrev	וכו'	וכולי	משנה תורה, הלכות מגילה וחנוכה	דרך פקודיך
abbrev	וגו'	וגומר	הזוהר המתורגם - בראשית	תלמוד ירושלמי קידושין
abbrev	כמ"ש	כמו שכתוב	מעשה רב	מחזור יום כיפור עדות המזרח
abbrev	כמ"ש	כמו שאמר	מעשה רב	מחזור יום כיפור עדות המזרח
abbrev	אחז"ל	אמרו חכמינו זכרונם לברכה	דרך פקודיך	חגיגה
abbrev	חז"ל	חכמינו זכרונם לברכה	מעשה רב	משנה תורה, מסירת תורה שבעל פה
abbrev	עוה"ז	העולם הזה	דרך פקודיך	מחזור יום כיפור עדות המזרח
abbrev	עוה"ב	העולם הבא	דרך פקודיך	מחזור יום כיפור עדות המזרח
abbrev	עש"ק	ערב שבת קודש	משנה בבא קמא	תלמוד ירושלמי מעשרות
abbrev	שב"ק	שבת קודש	תלמוד ירושלמי שקלים	ישמח משה על השס
abbrev	יו"ט	יום טוב	מעשה רב	אסתר
abbrev	יו"כ	יום כיפור	מעשה רב	אסתר
abbrev	יו"כ	יום הכיפורים	מעשה רב	אסתר
abbrev	בנ"י	בני ישראל	מחזור יום כיפור עדות המזרח	מחזור יום כיפור עדות המזרח
abbrev	בעה"ב	בעל הבית	חדושי הלכות על פסחים	מחזור יום כיפור עדות המזרח
abbrev	בי"ד	בית דין	מטה יהונתן על שולחן ערוך אורח חיים	כללי התחלת החכמה
